Row.names,summaryGroups,summaryGroupsExtended,CONSENSUS_CRG,CONSENSUS2_CRG,PR2_L1,PR2_L2,PR2_L3,PR2_L4,PR2_L5,PR2_L6,PR2_L7,PR2_L8,perc_id_PR2,al_length_PR2,summary_type,summaryGroups_metazoan
ASV_19788,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthula,Labyrinthula_sp,80.645,372,heterotroph - saprotroph - parasite ,
ASV_19789,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthulaceae_X,Labyrinthulaceae_X_sp,93.557,388,heterotroph - saprotroph - parasite ,
ASV_20126,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp,90.5,400,heterotroph - saprotroph - parasite ,
ASV_4527,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp,98.077,364,heterotroph - saprotroph - parasite ,
ASV_10801,MAST,MAST,MAST-6,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,MAST-6,MAST-6_X,MAST-6_XX,MAST-6_XXX,MAST-6_XXX_sp,97.409,386,heterotroph - saprotroph - parasite ,
ASV_20092,MAST,MAST,MAST-6,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,MAST-6,MAST-6_X,MAST-6_XX,MAST-6_XXX,MAST-6_XXX_sp,95.596,386,heterotroph - saprotroph - parasite ,
ASV_14363,MAST,MAST,MAST-9,Stramenopiles,Eukaryota,Stramenopiles,Sagenista,MAST-9,MAST-9A,MAST-9A_X,MAST-9A_XX,MAST-9A_XX_sp,99.736,379,heterotroph - saprotroph - parasite ,
ASV_3553,,,Diatomea,Stramenopiles,Eukaryota,Stramenopiles,Stramenopiles_X,Stramenopiles_X-Group-2,Stramenopiles_X-Group-2_X,Stramenopiles_X-Group-2_XX,Stramenopiles_X-Group-2_XXX,Stramenopiles_X-Group-2_XXX_sp,95.568,361,,
ASV_19570,land-plant,land-plant,Charophyta,Archaeplastida,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Alnus,Alnus_alnobetula,99.736,379,,
ASV_19952,Telonemia,Telonemia,Telonemia,Eukaryota,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp,99.735,377,heterotroph - saprotroph - parasite ,
ASV_20091,Telonemia,Telonemia,Telonemia,Eukaryota,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-2,Telonemia-Group-2_X,Telonemia-Group-2_X_sp,99.735,377,heterotroph - saprotroph - parasite ,
ASV_9903,Choanomonada,Choanomonada,Choanomonada,Obazoa,Eukaryota,Opisthokonta,,,,,,,85.938,384,heterotroph - saprotroph - parasite ,
ASV_1332,NA,NA,NA,Eukaryota,Eukaryota,,,,,,,,84.848,99,,
ASV_19759,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Stramenopiles,Eukaryota,,,,,,,,94.792,384,heterotroph - saprotroph - parasite ,
